Authors,Author(s) ID,Title,Year,Source title,General conference name,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
Fry R.,23093686000;,Modeling and using secondary taste terms,2018,International Journal of Designed Objects,NULL,12,1,,11,19,,,10.18848/2325-1379/CGP/v12i01/11-19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053708441&doi=10.18848%2f2325-1379%2fCGP%2fv12i01%2f11-19&partnerID=40&md5=7d2e8cfc95433edf9fb9eff9ee15f8b7,"School of Technology, Brigham Young University, 265 CTB, Provo, UT  84602-4206, United States","Fry, R., School of Technology, Brigham Young University, 265 CTB, Provo, UT  84602-4206, United States","Previous investigation into cuteness literature resulted in a preliminary, three-factor model for defining and organizing information regarding taste terms. A theoretical definition of a taste term should have a declaration of: 1) aesthetic purpose, 2) the essential emotional responses, and 3) understandable themes and expressions. A small group of second-year industrial design students explored the model, and was tasked with identifying, defining, and experimenting with three taste terms of their choosing: Performance, Strength, and Simple Quiet. To test their knowledge, they applied their aesthetic insights to a simple industrial design problem. Even though the original intent was to explore and define concepts of taste, and expand visual and verbal vocabulary for students, it was anecdotally observed that this exercise had a positive effect on creative output. This article will summarize the results of their efforts, and offer suggestions for future work regarding understanding the more granular context of taste terms. © Common Ground Research Networks, Richard Fry, All Rights Reserved.",Aesthetics; Cute; Model; Taste,,Journal,Final,,Scopus,2-s2.0-85053708441
"_venda V.G., Stankovi_ A.M., Sari_ A.T., Transtrum M.K.",57192247939;57218886193;6701777223;8448666000;,Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,2020,International Journal of Electrical Power and Energy Systems,NULL,122,7,106179,,,,,10.1016/j.ijepes.2020.106179,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085160218&doi=10.1016%2fj.ijepes.2020.106179&partnerID=40&md5=099652cf36ebd5d28075e32ca3a75e9b,"Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States; Department of Power, Electronic and Communication Eng., University of Novi Sad, Novi Sad, Serbia; Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States","_venda, V.G., Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States; Stankovi_, A.M., Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States; Sari_, A.T., Department of Power, Electronic and Communication Eng., University of Novi Sad, Novi Sad, Serbia; Transtrum, M.K., Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States","This paper proposes a probabilistic extension to flexible hybrid state estimation (FHSE) for cyber-physical systems (CPSs). The main goal of the algorithm is improvement of the system state tracking when realistic communications are taken into account, by optimizing information and communication technology (ICT) usage. These advancements result in: 1) coping with ICT outages and inevitable irregularities (delay, packet drop and bad measurements); 2) determining the optimized state estimation execution frequencies based on expected measurement refresh times. Additionally, information about CPSs is gathered from both the phasor measurement units (PMU) and SCADA-based measurements. This measurement transfer introduces two network observability types, which split the system into observable (White) and unobservable (Grey) areas, based on 1) deployed measuring instruments (MIs) and 2) received measurements. A two-step bad data detection (BDD) method is introduced for ICT irregularities and outages. The proposed algorithm benefits are shown on two IEEE test cases with time-varying load/generation: 14-bus and 300-bus. © 2020 Elsevier Ltd",Co-simulation; Cyber-physical systems; ICT irregularities; Probabilistic observability; State estimation,Cyber Physical System; Embedded systems; Frequency estimation; State estimation; Bad data detections; Cyber physical systems (CPSs); Hybrid state estimation; Information and Communication Technologies; Measuring instruments; Network observability; Probabilistic extension; Realistic communication; Phasor measurement units,Journal,Final,,Scopus,2-s2.0-85085160218
"_venda V.G., Stankovi_ A.M., Sari_ A.T., Transtrum M.K.",57192247939;57218886193;6701777223;8448666000;,Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,2020,International Journal of Electrical Power and Energy Systems,NULL,122,2,106179,,,,,10.1016/j.ijepes.2020.106179,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085160218&doi=10.1016%2fj.ijepes.2020.106179&partnerID=40&md5=099652cf36ebd5d28075e32ca3a75e9b,"Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States; Department of Power, Electronic and Communication Eng., University of Novi Sad, Novi Sad, Serbia; Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States","_venda, V.G., Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States; Stankovi_, A.M., Department of Electrical and Computer Science, Tufts University, Medford, MA  02155, United States; Sari_, A.T., Department of Power, Electronic and Communication Eng., University of Novi Sad, Novi Sad, Serbia; Transtrum, M.K., Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States","This paper proposes a probabilistic extension to flexible hybrid state estimation (FHSE) for cyber-physical systems (CPSs). The main goal of the algorithm is improvement of the system state tracking when realistic communications are taken into account, by optimizing information and communication technology (ICT) usage. These advancements result in: 1) coping with ICT outages and inevitable irregularities (delay, packet drop and bad measurements); 2) determining the optimized state estimation execution frequencies based on expected measurement refresh times. Additionally, information about CPSs is gathered from both the phasor measurement units (PMU) and SCADA-based measurements. This measurement transfer introduces two network observability types, which split the system into observable (White) and unobservable (Grey) areas, based on 1) deployed measuring instruments (MIs) and 2) received measurements. A two-step bad data detection (BDD) method is introduced for ICT irregularities and outages. The proposed algorithm benefits are shown on two IEEE test cases with time-varying load/generation: 14-bus and 300-bus. © 2020 Elsevier Ltd",Co-simulation; Cyber-physical systems; ICT irregularities; Probabilistic observability; State estimation,Cyber Physical System; Embedded systems; Frequency estimation; State estimation; Bad data detections; Cyber physical systems (CPSs); Hybrid state estimation; Information and Communication Technologies; Measuring instruments; Network observability; Probabilistic extension; Realistic communication; Phasor measurement units,Journal,Final,,Scopus,2-s2.0-85085160218
"Zhang W., Comer D.J., Chiang S.-H.W.",57193008289;7005836251;35209941000;,Design of low-power ultra-high voltage gain differential cascode stages,2017,International Journal of Electronics,NULL,104,6,,982,992,,1,10.1080/00207217.2017.1279229,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009985706&doi=10.1080%2f00207217.2017.1279229&partnerID=40&md5=96a323a126a78cc3e4800904f30e3c9c,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, United States","Zhang, W., Department of Electrical and Computer Engineering, Brigham Young University, Provo, United States; Comer, D.J., Department of Electrical and Computer Engineering, Brigham Young University, Provo, United States; Chiang, S.-H.W., Department of Electrical and Computer Engineering, Brigham Young University, Provo, United States","The conventional cascode circuit has long been used as the basis for the differential input stage to an op amp. The voltage gain of this stage can be maximised by operating the MOS devices in the moderate inversion region rather than the strong inversion region. In so doing, the voltage gains of the differential stage can reach values of over 120 dB and the power dissipation is minimised due to the low currents required. Harmonic distortion is also minimised by moderate inversion operation. Although the composite cascode or self-cascode has been successfully used as an op-amp differential stage, the conventional cascode differential circuit offers additional advantages and is compared to the composite cascode differential circuit in this work. A design procedure is also reported in this work for low-power, high voltage gain differential stages. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",conventional cascode; Differential stage; low-power amplifier; ultra-high voltage gain; weak/moderate inversion,Analog circuits; Design; Differential amplifiers; Gain measurement; MOS devices; Operational amplifiers; Power amplifiers; Cascode; Differential circuits; High voltage gain; Low power amplifiers; Moderate inversion; Strong inversion regions; Ultra high voltage; weak/moderate inversion; Cascode amplifiers,Journal,Final,,Scopus,2-s2.0-85009985706
"Zhang W., Comer D.J., Chiang S.-H.W.",57193008289;7005836251;35209941000;,Design of low-power ultra-high voltage gain differential cascode stages,2017,International Journal of Electronics,NULL,104,6,10,982,992,,1,10.1080/00207217.2017.1279229,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009985706&doi=10.1080%2f00207217.2017.1279229&partnerID=40&md5=96a323a126a78cc3e4800904f30e3c9c,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, United States","Zhang, W., Department of Electrical and Computer Engineering, Brigham Young University, Provo, United States; Comer, D.J., Department of Electrical and Computer Engineering, Brigham Young University, Provo, United States; Chiang, S.-H.W., Department of Electrical and Computer Engineering, Brigham Young University, Provo, United States","The conventional cascode circuit has long been used as the basis for the differential input stage to an op amp. The voltage gain of this stage can be maximised by operating the MOS devices in the moderate inversion region rather than the strong inversion region. In so doing, the voltage gains of the differential stage can reach values of over 120 dB and the power dissipation is minimised due to the low currents required. Harmonic distortion is also minimised by moderate inversion operation. Although the composite cascode or self-cascode has been successfully used as an op-amp differential stage, the conventional cascode differential circuit offers additional advantages and is compared to the composite cascode differential circuit in this work. A design procedure is also reported in this work for low-power, high voltage gain differential stages. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",conventional cascode; Differential stage; low-power amplifier; ultra-high voltage gain; weak/moderate inversion,Analog circuits; Design; Differential amplifiers; Gain measurement; MOS devices; Operational amplifiers; Power amplifiers; Cascode; Differential circuits; High voltage gain; Low power amplifiers; Moderate inversion; Strong inversion regions; Ultra high voltage; weak/moderate inversion; Cascode amplifiers,Journal,Final,,Scopus,2-s2.0-85009985706
"Jones S.H., Campbell B.D., Villanueva I.",56149906900;56662711400;56740595400;,An investigation of self-efficacy and topic emotions in entry-level engineering design learning activities,2018,International Journal of Engineering Education,NULL,35,1,,15,24,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060976164&partnerID=40&md5=a9a8f22428f02e0e975d4b5b2ba84c87,"School of Teacher Education and Leadership, Utah State University, Logan, UT, United States; Department of Psychology, Brigham Young University, Provo, UT, United States; Department of Engineering Education, Utah State University, Logan, UT, United States","Jones, S.H., School of Teacher Education and Leadership, Utah State University, Logan, UT, United States; Campbell, B.D., Department of Psychology, Brigham Young University, Provo, UT, United States; Villanueva, I., Department of Engineering Education, Utah State University, Logan, UT, United States","Little is known about the impact self-efficacy and topic emotions have on novice engineering students when first exposed to an engineering design course. Freshman students may have difficulties regulating their emotions when exposed to new or complex topics such as engineering design. Consequently, they may become frustrated or discouraged as the semester progresses that can lead to feelings of hopelessness and anxiety. In contrast, novice students may experience feelings of hope and interest that may foster positive learning outcomes in engineering design. The authors explored freshmen engineering students’ (n = 58) levels of self-efficacy and topic emotions while participating on a freshmen-level engineering and graphics design course. Our findings suggests that while positive and negative topic emotions are inversely related, both seem to be associated with self-efficacy. Further, topic emotions appear to mediate self-efficacy as topic emotions such as curiosity, happiness, and interest were reported by engineering students during engineering design activities. Self-efficacy increased over the course of the semester for these freshman engineering design students. © 2019 TEMPUS Publications.",Engineering design; Self-efficacy; Topic emotions,Curricula; Students; Engineering design; Engineering Design Activities; Engineering design course; Freshman engineering design; Freshmen engineering; Learning outcome; Self efficacy; Topic emotions; Engineering education,Journal,Final,,Scopus,2-s2.0-85060976164
"Stone B., Gorrell S., Richey M.",56300864300;6602649851;18042274300;,Profile-based team organization in multi-university capstone engineering design teams,2018,International Journal of Engineering Education,NULL,34,2,,414,429,,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044427862&partnerID=40&md5=c8a5e6a437d92594030defd38d76e530,"435P CTB, Brigham Young University, Provo, UT  84602, United States; Mail Code: 0U-23, Boeing Company, P.O. Box 3707, Seattle, WA  98124, United States","Stone, B., 435P CTB, Brigham Young University, Provo, UT  84602, United States; Gorrell, S., 435P CTB, Brigham Young University, Provo, UT  84602, United States; Richey, M., Mail Code: 0U-23, Boeing Company, P.O. Box 3707, Seattle, WA  98124, United States","Engineers are increasingly required to work in teams that span time zones and cultures. Engineering education has begun to attempt to prepare students for this environment. An important topic is how to best form teams of students for distributed design projects. The goals of this research were to validate a method for organizing teams to maximize team performance and identify and validate metrics for individuals that would help in the organization of distributed teams of student engineers. A review of previous, related research is provided. A description of the proposed method of team organization is given, along with methods of data collection and a comparison of the proposed method to common methods. How students were divided into teams and each team's method of organizing sub-teams are described. Use of online surveys, tests, statistical methods, and other data gathering and analysis methods are explained. Statistical analysis of survey results and qualitative results of interviews and observations suggest that a profile-based method for organizing teams results in significantly higher team satisfaction. Some methods for measuring and/or predicting individual attributes related to teamwork, such as the significance of participation in team sports, were validated. No correlation was found between which university a student attended and a student's level of satisfaction with his or her team. Team success in distributed, multi-disciplinary student design teams can be improved by gathering information about team members and using a profile-based method to organize team members into sub-teams and leadership positions. © 2018 TEMPUS Publications.",Distance learning; Multi-university capstone; Team performance; Virtual teams,,Journal,Final,,Scopus,2-s2.0-85044427862
"Stone B.R., Wald M.O., Gorrell S.E., Richey M.C.",56300864300;57190492863;6602649851;18042274300;,Collaboration task-technology fit for student distributed engineering design teams,2018,International Journal of Engineering Education,NULL,34,5,,1687,1700,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052706092&partnerID=40&md5=33f0d1fd105b43ccb050b6e103e4d020,"Brigham Young University, 435 CTB, Provo, UT  84602, United States; Boeing Company, P.O. Box 3707, Seattle, WA  98124, United States","Stone, B.R., Brigham Young University, 435 CTB, Provo, UT  84602, United States; Wald, M.O., Brigham Young University, 435 CTB, Provo, UT  84602, United States; Gorrell, S.E., Brigham Young University, 435 CTB, Provo, UT  84602, United States; Richey, M.C., Boeing Company, P.O. Box 3707, Seattle, WA  98124, United States","Engineers in industry are increasingly called on to work with teammates located in multiple geographic locations (virtual teams). Engineering education has an interest in helping students learn how to best collaborate in these types of situations. Four years of multi-university, multi-disciplinary engineering capstone projects are investigated and related literature is thoroughly examined to demonstrate which collaboration tools, at different stages of the product development process, meet the needs of virtual team members for communication tasks. Student engineering design teams with team members located at various locations should, during the early, middle, and late stages of the product development process, emphasize the use of collaboration tools that will best meet the needs of each stage. In the early stages, teams should emphasize rich communication mediums, such as in-person kick-off meetings. In the middle stages, tools which allow team members to perform their individual work while staying in-sync with their remotely located teammates, such as web conferencing and shared data editing tools, become important. In the late stages, as the team shifts from digital work to physical work, tools such as texting and in-person meetings become more necessary. © 2018 TEMPUS Publications.",Collaborative learning; Computer-mediated-communication; Systems engineering; Virtual teams,Distributed computer systems; Product design; Product development; Students; Systems engineering; Collaborative learning; Communication medium; Computer mediated communication; Distributed engineering; Engineering design teams; Multi disciplinary engineerings; Product development process; Virtual team; Engineering education,Journal,Final,,Scopus,2-s2.0-85052706092
"Villanueva I., Jones S., Putney L., Campbell B.",56740595400;56149906900;56328064900;56662711400;,Puzzling the pieces: Conceptual blocks of engineering student ideas in a service learning project,2018,International Journal of Engineering Education,NULL,34,1,,56,68,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042547731&partnerID=40&md5=acd4b12a79e16f68788f02d67bde94c0,"Department of Engineering Education, Utah State University, Logan, UT, United States; School of Teacher Education and Leadership, Utah State University, Logan, UT, United States; Educational Psychology and Higher Education, University of Nevada-Las Vegas, Las Vegas, NV, United States; Department of Psychology, Brigham Young University, Provo, UT, United States","Villanueva, I., Department of Engineering Education, Utah State University, Logan, UT, United States; Jones, S., School of Teacher Education and Leadership, Utah State University, Logan, UT, United States; Putney, L., Educational Psychology and Higher Education, University of Nevada-Las Vegas, Las Vegas, NV, United States; Campbell, B., Department of Psychology, Brigham Young University, Provo, UT, United States","At its core, engineering and similar disciplines rely strongly on technical innovation to design and develop creative solutions to complex problems. However, for novice engineering students, conceptualizing engineering design activities is not an easy task. To do so, they must overcome cognitive blocks to facilitate unique and adequate engineering design solutions. This effect may be compounded when engineering design projects centered around service learning are introduced. The intent of this study was to explore if and what types of conceptual blocks may be present among novice engineering students when design heuristic cues are provided in the classroom. Findings suggest that using classroom interventions around design heuristic, students had a difficult time ""shaking off"" their conceptual blocks to the design solution. Primarily, communicative and perceptual blocks were found to predominate among novice engineering student groups. © 2018 TEMPUS Publications.",Conceptual blocks; Design heuristics; Engineering design; First year curriculum; Service learning,Engineering education; Conceptual blocks; Design heuristics; Engineering design; First-year curriculum; Service learning; Students,Journal,Final,,Scopus,2-s2.0-85042547731
"Villanueva I., Jones S., Putney L., Campbell B.",56740595400;56149906900;56328064900;56662711400;,Puzzling the pieces: Conceptual blocks of engineering student ideas in a service learning project,2018,International Journal of Engineering Education,NULL,34,1,,56,68,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042547731&partnerID=40&md5=acd4b12a79e16f68788f02d67bde94c0,"Department of Engineering Education, Utah State University, Logan, UT, United States; School of Teacher Education and Leadership, Utah State University, Logan, UT, United States; Educational Psychology and Higher Education, University of Nevada-Las Vegas, Las Vegas, NV, United States; Department of Psychology, Brigham Young University, Provo, UT, United States","Villanueva, I., Department of Engineering Education, Utah State University, Logan, UT, United States; Jones, S., School of Teacher Education and Leadership, Utah State University, Logan, UT, United States; Putney, L., Educational Psychology and Higher Education, University of Nevada-Las Vegas, Las Vegas, NV, United States; Campbell, B., Department of Psychology, Brigham Young University, Provo, UT, United States","At its core, engineering and similar disciplines rely strongly on technical innovation to design and develop creative solutions to complex problems. However, for novice engineering students, conceptualizing engineering design activities is not an easy task. To do so, they must overcome cognitive blocks to facilitate unique and adequate engineering design solutions. This effect may be compounded when engineering design projects centered around service learning are introduced. The intent of this study was to explore if and what types of conceptual blocks may be present among novice engineering students when design heuristic cues are provided in the classroom. Findings suggest that using classroom interventions around design heuristic, students had a difficult time ""shaking off"" their conceptual blocks to the design solution. Primarily, communicative and perceptual blocks were found to predominate among novice engineering student groups. © 2018 TEMPUS Publications.",Conceptual blocks; Design heuristics; Engineering design; First year curriculum; Service learning,Engineering education; Conceptual blocks; Design heuristics; Engineering design; First-year curriculum; Service learning; Students,Journal,Final,,Scopus,2-s2.0-85042547731
"Clavijo C.E., Crockett J., Maynes D.",56463982900;55457444300;6701863708;,Hydrodynamics of droplet impingement on hot surfaces of varying wettability,2017,International Journal of Heat and Mass Transfer,NULL,108,8,758,1714,1726,,25,10.1016/j.ijheatmasstransfer.2016.12.076,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009936506&doi=10.1016%2fj.ijheatmasstransfer.2016.12.076&partnerID=40&md5=2151185505b44cf7b4feee7064c5d160,"Mechanical Engineering, BYU, Provo, UT  84602, United States","Clavijo, C.E., Mechanical Engineering, BYU, Provo, UT  84602, United States; Crockett, J., Mechanical Engineering, BYU, Provo, UT  84602, United States; Maynes, D., Mechanical Engineering, BYU, Provo, UT  84602, United States","This work presents on the hydrodynamics of water droplet impingement on superheated solid surfaces across the entire wettability spectrum: superhydrophilic, hydrophilic, hydrophobic and superhydrophobic. While a large body of work exists on droplet impingement on hydrophilic and superhydrophilic surfaces, impingement on the latter two has been largely neglected and the present results show that dynamics are dramatically different. Experiments ranging in surface temperature from 125°C to 415°C and Weber numbers from 10 to 225 were performed and analyzed using high-speed imaging. Some of the most striking differences are as follows. While atomization is always present for impingement on the hydrophilic and superhydrophilic surfaces at temperatures below the Leidenfrost point, atomization is absent at low Weber numbers and at low excess surface temperatures on the hydrophobic surface. At high surface temperatures, the attraction of vapor bubbles on the hydrophobic surface allows a vapor blanket to form more readily thus leading to Leidenfrost behavior at a much lower temperature than classically observed on a hydrophilic surface. One of the most interesting phenomenon that will be discussed includes what will be described as a “pseudo-Leidenfrost” state for impingement on the superhydrophobic surface. Because water can be suspended at the peaks of the roughness on a superhydrophobic interface, vapor escapes from underneath the droplet thus mimicking Leidenfrost behavior for all excess temperatures. This results in minimal atomization for superhydrophobic impingement over the entire regime explored. Finally, maximum spread diameters for Leidenfrost impingement are tabulated as a function of the Weber number for all surfaces and are shown to be larger on the smooth surfaces than on the textured ones indicating that droplet spreading at the Leidenfrost point is not independent of surface type as previously supposed. © 2016 Elsevier Ltd",Boiling; Droplet impingement; Superhydrophobic,Big data;Atmospheric temperature; Atomization; Boiling liquids; Drops; Hydrodynamics; Hydrophilicity; Phase interfaces; Surface properties; Wetting; Droplet impingement; Hydrophilic surfaces; Hydrophobic surfaces; Super-hydrophobic surfaces; Superhydrophilic surface; Superhydrophobic; Surface temperatures; Water droplet impingement; Hydrophobicity,Journal,Final,Open Access,Scopus,2-s2.0-85009936506
"Clavijo C.E., Stevens K., Crockett J., Maynes D.",56463982900;55764401200;55457444300;6701863708;,Thermally induced atomization during droplet impingement on superheated hydrophobic and superhydrophobic surfaces,2018,International Journal of Heat and Mass Transfer,NULL,126,7,983,1357,1366,,4,10.1016/j.ijheatmasstransfer.2018.05.068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048962910&doi=10.1016%2fj.ijheatmasstransfer.2018.05.068&partnerID=40&md5=d2d58ad82c94f04c02b450917444dfa8,"Brigham Young University, Provo, UT  84602, United States","Clavijo, C.E., Brigham Young University, Provo, UT  84602, United States; Stevens, K., Brigham Young University, Provo, UT  84602, United States; Crockett, J., Brigham Young University, Provo, UT  84602, United States; Maynes, D., Brigham Young University, Provo, UT  84602, United States","This paper presents on thermally induced atomization dynamics during liquid water droplet impingement on superheated hydrophobic and superhydrophobic surfaces. Circular micropillars 4 _m in height with varying center-to-center distances (pitch) of 8 _m, 12 _m and 16 _m, are used to create the superhydrophobic surfaces. The range of surface temperatures explored is 110°C&lt;Ts&lt;337°C. An image processing algorithm was developed to quantify the temporal behavior of thermally induced atomization captured via high-speed photography. Results show thermally induced atomization is initially absent (&lt;1 ms following impact) on all surfaces. The amount of ejected droplets later during droplet spreading is determined as a function of surface structuring and temperature. Atomization ceases when the surface has cooled sufficiently (2.5–4 ms depending on the surface). The maximum amount of atomization for a given scenario is highly dependent on surface temperature and surface microstructure characteristics. At low surface temperatures, atomization increases with increasing surface temperature; however at high surface temperatures atomization decreases with increasing surface temperature. This rise and fall behavior is tantamount to the classical relationship between heat flux and surface temperature for pool boiling. Both droplet impingement and pool boiling depend on vapor bubble formation dynamics and the stability of the so-called Leidenfrost vapor film, which is impacted by surface wettability. Results also show that small surface pitch causes a high atomization intensity, indicating that not all superhydrophobic surfaces sustain Leidenfrost-like behavior at all excess temperatures. © 2018 Elsevier Ltd",,Big data;Atmospheric temperature; Atomization; Boiling liquids; Drops; Hydrodynamics; Hydrophilicity; Phase interfaces; Surface properties; Wetting; Droplet impingement; Hydrophilic surfaces; Hydrophobic surfaces; Super-hydrophobic surfaces; Superhydrophilic surface; Superhydrophobic; Surface temperatures; Water droplet impingement; Hydrophobicity,Journal,Final,,Scopus,2-s2.0-85048962910
"Cowley A., Maynes D., Crockett J., Iverson B.D.",56237421600;6701863708;55457444300;8608718200;,Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,2019,International Journal of Heat and Mass Transfer,NULL,129,6,84,1095,1109,,,10.1016/j.ijheatmasstransfer.2018.10.030,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054812469&doi=10.1016%2fj.ijheatmasstransfer.2018.10.030&partnerID=40&md5=7c18edc3033129f41a7ed6d94afd0bdc,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Cowley, A., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Maynes, D., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Crockett, J., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Iverson, B.D., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","This work experimentally explores sub-boiling pool nucleation on micro-structured superhydrophobic surfaces. All surfaces tested were submerged in a 20 mm deep pool of water and heated from below to maintain a constant surface temperature, while the side walls of the pool were insulated, and the top was covered. Three thermocouples positioned in the pool obtain the average pool temperature. A heat flux sensor is placed directly beneath the surface to measure the heat flux supplied to the pool. Free convection heat transfer coefficients are obtained for the sub-boiling temperature range of 40–90 °C. Six surface types are studied: smooth hydrophilic, smooth hydrophobic, superhydrophobic with rib/cavity structures, superhydrophobic with rib/cavity structures and additional sparsely spaced ribs to close off the cavities, circular posts, and circular holes. It is found that structured superhydrophobic surfaces provide cavities for nucleation to occur. More dissolved air effervesces from the water as the surface temperature increases due to an increased level of supersaturation and convection. The nucleation leads to large air bubble formations that reduce the overall convection coefficient when compared to the smooth surfaces. For the rib/cavity structured surfaces, the bubbles form in an anisotropic manner and are aligned with the surface structure. More bubbles are observed on the superhydrophobic surfaces where the cavities are bounded. Since water's ability to dissolve air is dependent on temperature, heat and mass transfer cannot be treated independently on any of the superhydrophobic surfaces studied here. © 2018 Elsevier Ltd",Heat transfer; Mass transfer; Natural convection; Nucleation; Superhydrophobic,Big data;Atmospheric temperature; Atomization; Boiling liquids; Drops; Hydrodynamics; Hydrophilicity; Phase interfaces; Surface properties; Wetting; Droplet impingement; Hydrophilic surfaces; Hydrophobic surfaces; Super-hydrophobic surfaces; Superhydrophilic surface; Superhydrophobic; Surface temperatures; Water droplet impingement; Hydrophobicity,Journal,Final,,Scopus,2-s2.0-85054812469
"Cowley A., Maynes D., Crockett J., Iverson B.D.",56237421600;6701863708;55457444300;8608718200;,Bubble nucleation in superhydrophobic microchannels due to subcritical heating,2018,International Journal of Heat and Mass Transfer,NULL,121,5,,196,206,,2,10.1016/j.ijheatmasstransfer.2017.12.113,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039982303&doi=10.1016%2fj.ijheatmasstransfer.2017.12.113&partnerID=40&md5=89ddbc3bbf5e5af277921e833b25185a,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","Cowley, A., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Maynes, D., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Crockett, J., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States; Iverson, B.D., Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States","This work experimentally studies the effects of single wall heating on laminar flow in a high-aspect ratio superhydrophobic microchannel. When water that is saturated with air is used as the working liquid, the non-wetted cavities on the superhydrophobic surfaces act as nucleation sites and allow air to effervesce out of the water and onto the surface when heated. Previous works in the literature have only considered the opposite case where the water is undersaturated and absorbs air out the cavities for a microchannel setting. The microchannel considered in this work consists of a rib/cavity structured superhydrophobic surface and a glass surface separated by spacers. The microchannel is 60 mm long by 14 mm wide and two channel heights of nominally 183 _m and 366 _m are explored. The superhydrophobic side is in contact with a heated aluminum block and a camera is used to visualize the flow through the glass side. Thermocouples are embedded in the aluminum to record the temperature profile along the length of the channel. Temperatures are maintained below the boiling temperature of the working liquid. The friction factor-Reynolds product (fRe) is obtained via pressure drop and volumetric flow-rate measurements. Five surface types/configurations are investigated: smooth hydrophilic, smooth hydrophobic, superhydrophobic with ribs perpendicular to the flow, superhydrophobic with ribs parallel to the flow, and superhydrophobic with ribs parallel to the flow with several breaker ridges perpendicular to the flow. The surface type/configuration has a significant impact on the mass transport dynamics. For surfaces with closed cell micro-structures, large bubbles eventually form and adversely affect fRe and lead to higher temperatures along the channel. When degassed water is used, no bubble nucleation is observed and the air initially trapped in the superhydrophobic cavities is quickly absorbed by the water. © 2018 Elsevier Ltd",Convection; Heat transfer; Mass transfer; Microchannel; Nucleation; Superhydrophobic,Indexing; Aluminum; Aspect ratio; Flow rate; Glass; Heat convection; Heat transfer; Laminar flow; Mass transfer; Microchannels; Nucleation; Surface properties; Thermocouples; Boiling temperature; Bubble nucleation; High aspect ratio; Super-hydrophobic surfaces; Superhydrophobic; Temperature profiles; Transport dynamics; Volumetric flow rate; Hydrophobicity,Journal,Final,,Scopus,2-s2.0-85039982303
